age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,SeriousDlqin2yrs
35,0,4890,5833,4,0,2,0,2,0
36,0,29920000,5400,21,0,0,0,0,0
63,0,2139,7500,11,0,2,0,1,0
60,0,4214,11266,6,0,3,0,0,0
41,0,3792,6952,11,0,2,0,2,0
78,1,653,3612,6,0,0,0,0,0
47,0,20352,1700,10,0,2,0,2,1
59,0,2534,3452,8,0,1,1,0,0
73,0,16480000,5400,9,0,2,0,0,0
47,0,3754,5196,19,0,2,0,0,0
48,0,5095,2870,7,0,1,0,0,0
42,0,5330,7416,5,0,1,0,3,0
71,0,4754,3400,6,0,1,0,0,0
56,0,4934,13218,10,0,5,0,1,1
58,0,37426,2000,35,0,3,0,0,0
35,0,4112,2000,9,0,0,0,1,0
55,0,2176,10624,8,0,1,0,1,0
76,0,3842,2008,13,0,0,0,0,0
28,0,2540,2077,2,0,0,0,2,0
50,0,3112,6200,6,0,1,0,2,0
50,0,2225,7064,9,0,1,0,1,0
58,0,1748,47750,14,0,5,0,2,0
37,0,823,3497,7,0,0,0,4,0
46,0,3551,1770,5,1,0,0,0,0
34,1,4129,9408,8,0,3,0,1,0
57,0,4046,16698,12,0,3,0,4,0
69,0,7636,2000,8,0,2,0,0,0
36,0,1896,6500,4,0,1,0,2,0
58,0,6486,3323,15,0,1,0,0,0
64,1,10630000,5400,13,0,1,0,0,1
66,0,3683,6156,11,0,1,0,2,0
67,0,7570,4300,11,0,1,1,2,0
94,0,519,1000,4,0,0,0,0,0
67,0,12590000,5400,5,0,1,0,0,0
72,0,8632,6666,20,0,4,0,0,0
61,0,10450000,5400,25,0,1,0,0,0
59,0,6771,3400,3,0,1,0,0,0
71,0,10592,3002,14,0,1,0,0,0
64,0,3362,6000,8,0,0,0,0,0
61,0,7100000,5400,5,0,1,0,0,0
62,1,9820,4500,13,0,2,0,1,0
45,0,1220000,5400,2,0,0,0,0,0
41,0,2244,5333,7,0,2,0,3,0
49,0,2871,8600,6,0,4,0,0,0
46,0,26129,2200,6,0,0,0,0,0
40,0,16290000,5400,10,0,0,1,0,1
54,1,32290000,5400,17,0,2,0,3,0
73,0,20250,2157,13,0,3,0,1,0
39,0,3545,14500,11,0,1,0,2,0
46,0,28850000,5400,3,0,1,0,0,0
47,1,2982,5200,6,0,1,0,2,0
46,0,2675,10600,6,0,1,0,3,0
48,0,2694,13050,17,0,2,0,3,0
38,0,115,2167,2,0,0,0,0,0
77,0,1888,3500,5,0,0,0,0,0
38,0,5010000,5400,4,1,0,0,0,1
54,0,9691,3700,17,0,3,0,0,0
31,0,6077,3000,9,0,1,0,1,0
56,0,3730,4907,6,0,1,0,3,0
45,0,2390,10000,4,0,1,0,3,0
63,0,2635,9350,11,0,2,0,0,0
43,0,12000000,5400,4,0,0,0,0,0
33,0,1106,3425,5,0,0,0,2,1
39,2,7853,5533,12,0,1,0,1,0
55,1,15209,1216,4,0,3,0,0,0
56,0,30040000,5400,5,0,1,0,0,0
48,0,50430000,5400,3,0,2,0,0,0
47,0,3101,8500,9,0,1,1,1,0
58,0,2640,1900,2,0,0,0,0,0
48,1,1477,4500,8,0,0,0,0,0
56,0,169,5500,9,0,0,0,2,0
36,1,1690,2708,6,0,0,0,0,0
37,0,4944,3500,2,0,1,0,0,0
61,1,1655,5333,7,0,0,0,0,0
43,0,14463,400,4,0,0,0,0,0
63,0,3273,4010,6,0,1,0,0,0
32,0,309,4000,1,0,0,0,1,0
61,0,7037,11037,19,0,4,0,0,0
62,0,29220,1000,10,0,2,0,0,0
41,0,5348,12800,13,0,4,0,1,0
48,0,2677,4850,6,0,0,0,0,0
76,0,1774,9585,8,0,1,0,1,0
88,0,25,7000,4,0,0,0,0,0
26,0,2660000,1,3,0,0,0,0,0
55,0,50898,700,7,0,1,0,0,0
73,0,22,4477,15,0,0,0,0,0
30,1,1236,3500,1,0,0,0,3,0
73,0,63,468,2,0,0,0,0,0
71,0,9540000,5400,5,0,1,0,0,0
36,0,21190000,5400,4,0,1,0,0,0
72,0,95,4800,2,0,0,0,0,0
33,0,940000,5400,4,0,0,0,0,0
75,1,7480,9600,13,0,2,0,0,0
84,0,350000,5400,3,0,0,0,0,0
34,0,2640000,5400,6,0,0,0,0,0
35,3,3740000,5400,5,1,0,2,1,1
64,0,2362,6916,8,0,2,0,0,0
72,0,1999,8500,7,0,2,0,0,0
50,0,4123,8000,7,0,2,0,0,0
60,0,3227,3643,5,0,1,0,0,0
32,0,4830,7750,9,0,1,0,1,0
57,0,5824,2200,6,0,1,0,2,0
83,0,197,5833,9,0,0,0,1,0
50,0,3745,11500,9,0,2,0,1,0
42,0,1654,6250,4,0,0,0,0,0
28,0,4919,3060,5,0,2,0,0,0
60,1,565,5000,15,0,0,1,0,0
49,0,2014,14600,9,0,2,0,0,0
50,0,1917,4750,4,0,1,0,0,0
31,0,1814,4800,5,0,0,0,0,0
56,1,46970000,5400,9,0,2,0,0,0
58,0,4786,3703,7,0,2,0,1,0
74,0,307,1300,11,0,0,0,0,0
49,0,1352,2713,7,0,0,0,1,0
27,1,3324,1560,7,0,0,0,1,0
58,0,4708,4300,16,0,1,0,0,0
48,0,2685,7583,8,0,0,0,1,0
33,0,3675,4200,4,0,1,0,2,0
49,0,4943,3950,7,0,1,0,0,0
62,0,44920000,5400,14,0,2,0,0,0
39,0,2948,9100,7,0,1,0,1,0
77,0,856,5216,8,0,0,0,0,0
34,0,28900000,5400,7,0,2,0,0,0
61,0,4329,5371,13,0,1,0,0,0
58,0,2953,20003,17,0,2,0,2,0
45,0,2663,1700,3,0,0,0,0,0
43,3,680,9612,13,3,0,0,1,0
68,0,1030000,5400,9,0,0,0,0,0
65,0,4622,6210,10,0,2,0,0,0
81,0,3138,2500,13,0,2,0,0,0
45,0,4106,7600,6,0,1,0,0,0
82,0,46,6666,5,0,0,0,1,0
34,0,4087,5416,4,0,1,0,0,0
55,0,2575,6666,19,0,1,0,1,0
46,0,14120000,5400,4,0,1,0,0,0
64,0,1539,2916,3,0,0,0,0,0
42,0,4581,2160,8,0,0,0,0,0
59,0,46680000,5400,7,0,2,0,0,0
41,0,8044,1400,3,0,1,0,2,0
33,0,4560,8750,4,0,1,0,0,0
54,0,1806,7000,2,0,1,0,2,0
54,0,21380000,5400,9,0,1,0,0,0
62,0,9880,1500,7,0,2,0,0,0
55,0,15380000,5400,4,0,1,0,0,0
67,0,0,3200,0,2,0,0,0,0
64,0,360000,5400,1,1,0,1,0,1
58,0,0,4501,2,0,0,0,1,0
48,0,2222,4584,7,0,1,0,0,0
42,0,829,6800,7,0,0,0,0,0
79,1,4654,1331,13,0,2,0,0,0
44,0,2290,4500,5,0,0,0,1,0
48,0,21910000,5400,7,0,1,0,0,0
66,0,820000,5400,5,0,0,0,0,0
58,0,4511,6300,15,0,2,0,0,0
53,0,1402,8685,5,0,1,0,1,0
59,0,247,9500,6,0,0,0,0,0
54,0,3244,13359,10,0,1,0,3,0
43,0,8281,3677,8,0,1,0,2,0
84,0,390000,5400,12,0,0,0,0,0
61,0,3084,8664,14,0,2,0,3,0
55,0,2593,5833,6,0,1,0,0,0
60,1,4915,8431,10,0,1,0,0,0
39,0,9722,1800,6,1,1,0,1,1
62,0,3050,10600,8,0,2,0,1,0
52,0,1524,2289,5,0,0,0,0,0
72,0,109,3100,8,0,0,0,1,0
41,0,3866,1000,4,0,0,0,0,0
91,0,1886,6000,9,0,1,0,0,0
68,0,2586,3916,12,0,2,0,0,0
79,0,200000,5400,3,0,0,0,0,0
47,0,9371,4583,9,0,3,0,0,0
80,0,1863,2666,5,0,0,1,0,0
74,0,17,5833,8,0,0,0,1,0
44,0,1906,10416,12,0,0,0,2,0
35,0,4005,9644,4,0,1,0,0,0
28,1,6542,1798,4,0,2,0,0,0
62,0,550,36000,6,0,1,0,0,0
71,0,9740000,5400,7,0,1,0,0,0
59,1,3817,4774,16,0,2,0,0,0
32,0,4199,7200,9,0,1,0,3,0
42,0,3657,2725,2,2,0,0,1,1
59,0,4493,9573,18,0,2,0,1,0
56,0,589,5600,4,0,0,0,1,0
64,0,93,3000,2,0,0,0,0,0
50,2,22370000,5400,6,0,4,0,0,0
47,0,13286,1000,4,0,1,0,0,0
62,0,2655,11000,14,0,3,0,1,0
30,0,1237,2600,2,0,0,0,0,0
50,0,906,4800,2,0,1,0,8,0
40,0,1688,3333,5,0,0,0,3,0
37,0,4282,1540,13,0,1,0,2,0
56,0,2394,3386,3,0,0,0,1,0
43,0,2673,14583,9,0,3,0,4,0
86,5,5604,1000,6,0,0,1,0,0
58,0,2599,4600,6,0,1,0,0,0
38,0,4940,5666,5,0,2,0,1,0
51,0,2388,8456,7,0,3,0,1,0
54,0,31820000,5400,11,0,2,0,2,0
59,0,40010000,5400,23,0,3,0,1,0
41,0,2670,6230,5,0,0,0,1,0
50,0,3975,11464,11,0,2,0,1,0
52,0,35800000,5400,11,0,2,0,0,0
73,0,5450000,5400,7,0,1,0,0,0
43,0,5084,4208,10,0,1,0,0,0
55,0,4672,15300,12,0,4,0,1,0
63,0,422,8000,12,0,0,0,0,0
51,0,5203,4600,13,0,1,0,2,0
38,0,2410,3600,5,0,0,0,0,0
75,0,889,42500,16,0,2,0,1,0
58,0,1885,11666,19,0,2,0,0,0
76,0,920000,5400,3,0,0,0,0,0
51,0,5629,5129,16,0,1,0,0,0
68,0,3005,4241,16,0,1,0,0,0
67,1,0,5400,2,0,0,0,0,0
56,0,3875,12568,19,0,1,0,0,0
47,0,9881,2880,6,0,2,0,0,0
33,0,2013,2000,4,0,0,0,0,0
42,0,3163,6255,15,0,2,0,2,0
43,0,2862,2500,7,0,0,1,3,0
77,0,0,6065,7,0,0,0,0,0
69,0,1990000,1,6,0,0,0,0,0
32,0,4390000,5400,1,0,0,0,3,1
50,0,529,13000,4,0,0,0,2,0
72,0,8016,6316,10,0,2,0,0,0
74,0,8997,4000,11,0,3,0,0,0
50,0,4818,13664,17,0,3,0,2,0
72,0,11800000,5400,10,0,1,0,0,0
47,1,5540000,5400,15,0,0,0,0,0
71,0,1162,4075,6,0,1,0,1,0
48,0,307,5262,1,3,0,0,0,1
72,0,1378,2835,5,0,0,0,0,0
55,0,1571,11800,5,0,2,0,2,0
61,0,1373,11901,9,0,2,0,0,0
66,0,5061,3500,15,0,0,0,0,0
65,0,3826,4695,4,0,1,0,0,0
37,0,20160000,5400,11,0,2,0,0,0
68,0,7786,7200,11,0,4,0,0,0
76,0,131,2500,5,0,0,0,0,0
80,0,99,2800,9,0,0,0,0,0
38,4,1411,516,4,7,0,0,0,1
45,0,6113,6020,9,0,3,0,2,0
50,0,3246,12540,5,0,1,0,3,0
62,0,11060000,5400,6,0,1,0,0,0
66,0,3810,5250,12,0,2,0,0,0
62,0,1909,2916,4,0,0,0,1,0
76,1,6042,2566,10,0,0,0,0,0
53,1,5015,1251,4,0,0,0,0,1
30,1,9194,1650,12,0,1,0,1,0
30,0,699,5830,2,0,0,0,2,0
45,1,36620000,5400,19,0,1,0,0,1
32,0,3499,8500,13,0,1,0,0,0
78,0,47,4200,4,0,0,0,0,0
48,0,3335,8750,6,0,2,0,2,0
53,0,1268,6000,14,0,0,0,0,0
59,0,29650000,5400,11,0,1,0,0,0
61,0,199,1100,3,0,0,0,0,0
77,0,2176,4166,7,0,0,0,0,0
77,0,270000,5400,2,0,0,0,0,0
61,0,6339,8812,8,0,3,0,0,0
47,0,6048,4883,16,0,2,0,2,0
65,0,21770000,5400,6,0,1,0,1,0
70,0,3805,3920,9,0,1,0,0,0
59,0,20540000,5400,13,0,3,0,0,0
48,1,5099,9000,19,0,2,0,2,0
46,0,1065,5000,4,0,0,0,2,0
55,0,11,10833,2,0,0,0,0,0
69,0,18550000,5400,5,0,1,0,0,0
37,0,2260,20000,7,0,2,0,0,0
75,0,20,2451,5,0,0,0,0,0
49,0,2488,10416,7,0,1,0,2,0
36,2,10020000,5400,6,0,0,0,0,0
68,0,8601,2065,11,0,1,0,1,0
79,0,620,11200,6,0,0,0,0,0
85,0,70000,5400,4,0,0,0,0,0
52,1,7413,2500,8,0,0,0,5,0
49,1,915,2916,9,0,0,0,0,0
35,1,862,17000,9,0,0,0,0,0
41,0,411,4713,4,0,0,0,0,0
56,0,5814,10865,19,0,2,0,0,0
78,0,58,6200,10,0,0,0,0,0
55,0,4104,2416,6,0,1,0,0,0
63,0,2037,3425,9,0,1,0,0,0
36,0,21660000,5400,18,0,3,0,3,0
59,0,1026,5833,6,0,0,0,0,0
71,0,2713,13526,11,0,2,0,0,0
42,0,2511,4690,5,0,1,0,4,0
76,0,1,6417,10,0,0,0,0,0
36,2,3452,7958,9,0,2,0,2,0
62,0,2237,1800,3,0,1,2,0,1
48,0,5039,7800,12,0,3,0,0,0
64,0,7314,8912,17,0,5,0,1,1
55,0,18660000,5400,7,0,2,1,0,0
53,0,4062,10000,13,0,3,0,4,1
43,0,23840000,5400,11,0,1,0,1,0
55,0,4123,2327,10,0,0,0,1,0
59,0,3263,11400,6,0,2,0,0,0
72,0,4615,5376,15,0,1,0,0,0
39,0,1010000,5400,2,0,0,0,0,0
53,0,771,8611,8,0,1,0,3,0
33,0,7008,6500,13,0,2,0,1,0
51,0,2088,27573,8,0,1,0,2,0
47,0,0,3500,1,0,0,0,0,0
40,0,1994,2380,6,0,0,0,1,0
50,3,29950000,0,13,0,1,0,0,0
37,0,4392,3129,2,0,2,1,0,0
55,0,6495,4950,10,0,1,0,2,0
60,0,4256,5095,8,0,2,0,1,0
44,0,4352,6398,10,0,0,0,3,0
41,0,2221,14500,3,0,1,0,0,0
30,0,59930000,5400,6,1,4,0,0,0
33,0,8524,5000,7,0,3,0,0,0
61,0,7933,5250,12,0,2,0,0,0
56,1,7582,6000,7,3,3,3,0,1
24,0,1202,1737,5,0,0,0,0,1
28,0,1010,4800,5,0,0,0,0,0
84,1,26,9000,5,0,0,0,0,0
27,0,1738,1500,7,0,0,0,0,0
53,0,31260000,5400,14,0,2,0,2,0
31,0,503,5200,2,0,0,0,0,0
54,0,3245,10500,9,0,2,0,2,0
58,0,3257,5500,8,0,1,0,0,0
33,0,5937,5400,10,0,3,0,1,0
59,0,4122,6437,6,0,1,0,1,0
61,0,4547,10000,7,0,2,0,0,0
40,2,5825,5070,12,0,2,0,2,0
36,1,8821,2035,7,0,1,0,0,0
80,0,609,6369,13,0,0,0,0,0
40,0,2147,16666,12,0,1,0,3,0
55,0,3618,5600,15,0,1,0,1,0
68,0,33570000,5400,5,0,2,0,0,0
69,0,23300000,5400,10,0,1,0,0,0
46,0,2892,7300,5,0,1,0,1,0
62,0,925,5966,4,0,1,0,1,0
31,0,13980000,5400,5,0,2,0,0,0
50,0,5984,7086,20,0,2,0,0,0
68,0,1534,17600,5,0,1,0,0,0
62,0,1266,8352,11,0,2,0,1,0
56,1,3016,5138,6,0,2,0,3,0
34,0,4578,4000,11,0,1,0,0,0
91,0,0,2706,4,0,0,0,0,0
68,0,4201,27500,21,0,3,0,2,0
46,0,5455,6281,7,0,1,0,2,0
51,0,290,7642,5,0,0,0,2,0
87,0,32,4583,3,0,0,0,0,0
61,1,4376,4790,17,0,1,0,1,0
81,0,55,540,5,0,0,0,0,0
32,1,5196,8209,11,0,2,0,1,1
60,0,8950,4000,5,0,2,0,0,0
21,98,0,867,0,98,0,98,0,0
31,0,1640,3150,3,0,0,0,0,0
43,1,18220000,5400,7,0,2,0,1,0
73,0,28,1400,4,0,0,0,0,0
41,0,5520000,5400,4,0,0,0,0,0
58,0,1720000,5400,3,0,0,0,0,0
59,0,21210000,5400,14,0,1,0,0,0
70,0,3806,7600,16,0,2,0,1,0
35,0,6870000,0,9,0,0,0,0,0
38,0,4282,4650,7,0,1,0,0,0
71,0,33,3278,1,0,0,0,0,0
56,1,2256,10700,7,0,1,0,0,0
69,0,0,5400,5,0,0,0,0,0
31,0,2886,1970,8,0,0,0,0,0
70,0,263,5500,13,0,0,0,0,0
61,0,12450000,5400,3,0,1,0,0,0
53,0,3345,5833,15,0,2,0,1,0
52,2,9650,6717,11,0,5,0,3,0
63,0,10863,3252,13,0,2,0,4,0
54,0,11415,1200,6,1,1,0,4,0
88,0,4584,2741,7,0,2,0,0,0
67,0,3375,10467,7,0,2,0,1,0
67,0,3745,5800,12,0,1,0,0,0
65,0,13430,2500,10,0,3,0,1,1
52,1,8103,3100,6,0,1,0,0,0
34,0,5367,7812,7,0,1,0,3,0
56,0,135,4650,1,2,0,0,1,0
48,0,26330000,5400,6,0,1,0,3,0
74,0,1813,6093,7,0,1,0,0,0
62,1,66670000,5400,14,0,4,0,0,1
37,0,3187,9750,5,0,1,0,0,0
59,0,2359,10500,14,0,2,0,0,0
56,0,47100000,5400,9,0,2,0,0,0
59,0,847,6324,7,0,1,0,1,0
43,0,4163,16150,14,0,2,0,1,0
34,0,5608,5833,13,0,2,0,0,0
63,0,3597,5647,9,0,1,0,0,0
75,1,7473,3324,10,0,0,0,0,0
60,0,10440000,5400,4,0,1,0,0,0
50,0,135,4660,8,0,0,0,0,0
67,0,33640000,5400,19,0,2,0,0,0
64,2,28040000,5400,11,0,1,0,0,0
43,1,2700,11666,8,0,2,0,2,0
33,0,15070000,5400,12,0,0,0,0,0
58,0,4250,1799,9,0,1,0,0,0
46,0,15680000,5400,7,0,1,0,0,0
41,1,2803,17000,7,0,2,0,0,0
50,0,0,5400,1,0,0,0,0,0
47,0,4813,7460,12,0,3,0,1,0
41,0,3033,3473,5,0,0,0,2,0
39,0,4491,8000,10,0,1,0,2,0
45,0,52280000,5400,4,0,2,0,0,0
32,0,1175,3666,10,0,0,0,0,0
51,0,5636,6916,13,0,2,0,2,0
38,0,9276,3166,9,0,2,0,1,0
40,0,5350000,5400,3,0,0,0,0,0
65,0,1628,3451,8,0,1,0,0,0
42,0,5182,1666,9,0,1,0,0,1
59,2,6172,1700,1,0,1,0,0,0
35,0,110000,5400,5,0,0,0,3,0
60,0,5902,10412,9,0,3,0,0,0
26,0,5460000,5400,2,0,0,0,0,0
76,0,94,10500,12,0,0,0,0,0
53,0,2518,6186,8,0,1,0,3,0
45,0,5177,6500,11,1,1,0,4,0
49,2,3192,7438,12,0,1,0,0,0
63,0,17200000,5400,13,0,1,0,0,0
74,0,2621,3650,14,0,1,0,0,0
48,0,7376,6250,8,0,3,0,3,0
52,0,6279,4200,5,0,1,0,1,0
57,0,2603,7581,4,0,1,0,1,0
57,0,3333,18300,19,0,2,0,1,0
53,0,1319,15670,12,0,0,0,0,0
56,0,4559,13750,17,0,1,0,6,1
67,0,680000,5400,5,0,0,0,0,0
54,0,4727,13312,12,0,3,0,1,0
60,0,0,5400,0,0,0,0,0,0
39,0,4565,3712,5,0,1,0,2,0
41,0,2662,2200,8,0,1,0,1,0
46,0,46,6500,8,0,0,0,3,0
47,0,1590,8750,8,0,2,0,3,0
47,1,205,20150,4,0,0,0,3,0
74,0,6970,3600,7,0,1,0,0,0
41,0,2162,18700,9,0,3,0,3,0
34,1,0,3000,3,0,0,0,2,0
53,1,2487,3666,7,1,1,0,0,0
28,0,26887,256,5,0,0,0,0,0
71,1,2659,6000,13,1,1,0,1,0
23,0,76,1300,1,0,0,0,0,0
45,0,4400,5800,7,0,0,0,0,0
79,0,0,4583,1,0,0,0,0,0
47,0,28720000,5400,10,0,2,0,0,0
85,0,160000,5400,1,0,0,0,0,0
43,0,4701,5835,4,0,2,0,1,0
69,0,2197,9003,10,0,1,0,0,0
61,0,75,7500,5,0,0,0,2,0
23,0,0,770,0,1,0,0,0,0
46,0,800000,5400,2,0,0,0,0,0
74,0,32,1852,5,0,0,0,1,0
41,0,5999,6666,8,0,1,0,3,0
69,0,1397,6430,9,0,1,0,1,0
40,0,1365,7800,15,0,1,0,3,0
52,0,3450,12765,6,0,3,0,3,0
27,0,1680000,5400,4,0,0,0,0,0
52,0,81400000,5400,7,0,2,0,4,0
31,0,5816,2750,16,0,1,0,2,0
42,0,0,2882,3,0,0,0,0,0
37,1,2355,2750,11,1,1,0,0,0
47,1,8033,2450,4,0,1,1,0,1
25,0,6011,864,2,0,0,1,0,0
60,0,8288,4141,21,0,2,0,0,0
69,0,2819,5422,12,0,1,0,0,0
24,0,2210000,5400,0,1,0,0,0,1
68,0,551,2916,7,0,0,0,0,0
51,0,2136,2700,5,3,0,0,0,0
37,0,593,2525,5,0,0,1,0,0
62,0,3092,9200,14,0,2,0,0,0
62,0,2177,10461,17,0,1,0,0,0
53,1,1057,5822,13,0,0,0,1,0
51,0,5929,7550,12,0,2,0,4,0
68,1,3235,4209,19,0,1,0,0,0
23,0,0,5400,1,0,0,0,0,0
38,0,7925,3600,14,0,1,0,2,0
63,0,2171,2085,2,0,0,0,0,0
43,0,100,3272,4,2,0,0,2,0
54,0,3627,7833,6,0,2,0,0,0
57,1,7703,3500,7,0,1,0,0,0
66,0,295,2571,2,0,0,0,0,0
52,0,3300,3483,7,0,2,0,1,0
50,0,33500000,5400,7,0,1,0,0,0
31,0,3844,10000,6,0,3,0,1,0
42,0,1056,17666,12,0,0,0,0,0
39,0,1147,5575,8,0,1,0,2,0
68,4,563,3000,5,0,0,0,0,1
45,0,1785,6250,30,0,0,0,0,0
59,0,2860,8626,11,0,2,0,3,0
70,0,1174,3600,5,0,0,0,0,0
46,0,2076,11425,6,0,1,0,1,0
24,3,5340000,5400,3,0,0,1,0,0
45,0,4873,8000,10,0,3,0,0,0
60,0,20130000,5400,9,0,2,0,0,0
54,0,1781,14333,7,0,1,0,3,0
51,0,220,6125,5,0,0,0,0,0
61,3,3961,4583,17,0,2,0,0,0
39,4,3634,2200,5,0,1,0,2,1
72,0,5541,4583,9,0,3,0,0,0
41,0,11651,3808,12,0,2,0,2,0
87,0,3885,3365,16,0,1,0,0,0
31,0,3225,3800,2,0,1,0,1,0
64,2,12503,5416,6,0,2,1,0,1
58,0,5462,5791,14,0,2,0,1,0
57,0,2286,13808,9,0,2,0,1,0
60,0,69618,550,16,0,2,0,0,0
56,0,4914,2400,8,0,2,0,0,0
65,0,2441,7158,11,0,2,0,0,0
31,0,2114,3200,8,0,0,0,0,0
56,0,2687,6112,8,0,1,1,0,0
55,0,162700000,5400,20,0,11,0,0,0
40,2,2429,2127,6,0,0,0,1,1
58,1,1174,12387,10,0,0,0,2,0
79,0,8417,4025,21,0,2,0,0,0
56,0,7133,2863,17,0,1,0,1,0
45,0,14240000,5400,12,0,1,0,0,0
55,0,57,4500,11,0,0,0,0,0
36,2,3383,10083,8,0,2,0,3,0
53,0,8253,2833,16,0,2,0,2,0
39,0,2721,6713,8,0,1,0,0,0
49,0,720000,5400,6,0,0,0,0,0
36,0,5058,3000,6,0,1,0,1,0
63,0,4515,7000,5,0,2,0,0,0
51,0,5052,3500,22,0,1,0,0,0
66,0,757,2481,10,0,0,0,0,0
48,0,3611,3313,5,0,1,0,2,0
69,0,27,3316,2,0,0,0,1,0
57,0,1978,8140,5,0,1,0,1,0
40,0,163,7225,2,0,0,0,2,0
41,0,1955,3916,8,0,0,0,0,1
70,0,162,4500,14,0,0,0,0,0
71,0,7295,3700,34,0,1,0,0,0
53,0,125,2460,5,0,0,0,0,0
46,0,2076,7067,11,0,1,0,2,0
62,0,1627,8916,6,0,2,0,0,0
28,0,4009,1044,5,0,0,0,0,0
66,0,1151,30200,8,0,2,0,0,0
61,0,110,4800,1,0,0,0,3,1
60,0,2232,9583,14,0,1,0,0,0
57,0,4023,6200,6,0,2,0,1,0
38,1,5162,6000,11,0,1,0,3,0
66,0,198,9500,4,1,0,0,0,0
46,0,309,8068,6,0,0,0,3,0
40,0,33300000,0,6,0,1,0,2,0
36,2,3949,5000,10,0,1,1,2,1
59,0,21,4750,6,0,0,0,0,0
81,0,21,2326,3,0,0,0,0,0
55,0,410000,5400,0,0,0,0,1,1
54,0,4401,13000,8,0,2,0,0,1
77,0,2478,6500,17,0,1,0,0,0
78,0,16939,682,6,0,1,0,0,0
38,0,312,1600,2,2,0,0,0,1
30,1,726,5420,4,0,0,0,1,0
66,0,1088,5025,5,0,0,0,0,0
38,0,210000,5400,2,0,0,0,0,0
66,0,45620000,5400,8,0,2,0,0,1
40,2,3477,5416,23,0,0,0,1,0
61,0,29010000,0,7,0,3,0,0,0
38,1,2027,13000,11,0,2,0,2,0
34,0,3899,2158,8,0,0,0,0,0
53,0,4809,9650,17,0,2,0,5,0
63,0,6304,13333,13,0,3,0,0,0
80,0,10,2873,4,0,0,0,0,0
61,0,5280000,5400,8,0,0,0,0,0
50,1,0,4339,3,0,0,0,0,0
55,0,1490,19099,13,0,1,0,0,0
62,0,32320000,5400,11,0,2,0,0,0
43,0,4786,3400,8,0,1,0,0,0
47,0,3157,5500,7,0,1,0,2,0
42,0,3077,8083,6,0,2,0,0,0
62,0,4345,1000,8,0,0,0,0,0
28,0,951,1250,2,1,0,1,0,0
50,0,2956,17400,10,0,2,0,0,0
63,0,4840000,5400,5,0,0,0,0,0
67,0,693,3000,7,0,0,0,0,0
74,0,4585,6834,5,0,1,0,0,0
65,0,1624,9954,16,0,1,0,0,0
67,0,6987,11250,28,0,2,0,0,0
65,0,2508,12900,17,1,2,0,0,0
53,0,6669,5899,9,0,2,0,1,0
52,0,4964,6400,7,0,3,0,1,0
42,0,2000000,5400,2,0,0,0,0,1
60,0,2722,4833,3,0,0,0,0,0
56,1,83,6000,7,0,0,0,0,0
47,0,5034,6015,10,0,1,1,0,0
60,1,3137,10500,13,0,2,0,0,0
43,0,2053,12000,8,0,1,0,1,0
54,0,37940000,5400,6,0,1,0,0,0
65,0,13730000,5400,4,0,1,0,0,0
86,0,1032,900,4,0,0,0,0,0
47,0,4764,11750,14,0,2,0,2,1
80,0,530000,0,3,0,0,0,0,0
58,0,2292,6700,17,0,1,0,0,0
36,0,2254,6000,3,0,1,0,0,0
65,0,8080000,5400,10,0,2,0,0,0
54,0,6170,10250,10,0,2,0,1,0
39,0,4310000,5400,2,1,0,0,0,0
47,0,1844,5750,7,0,1,0,0,0
48,0,2030,10021,9,0,2,0,3,0
61,0,2617,5707,17,0,1,0,2,0
43,0,37890000,5400,9,0,2,0,2,0
46,0,5896,9666,21,0,3,0,0,0
63,0,663,11392,5,0,0,0,0,0
60,0,3578,6100,10,0,1,0,0,0
53,0,4349,3797,7,0,1,0,3,0
53,0,3155,9800,10,0,2,0,0,0
48,0,3710,9416,3,0,1,0,3,0
66,0,6690000,5400,5,0,1,0,0,0
57,1,6460000,5400,2,0,0,0,0,1
76,0,0,5063,9,0,0,0,0,0
33,1,2422,3500,5,1,0,0,0,1
78,0,620000,5400,1,0,0,0,0,0
60,1,963,4100,1,0,0,0,0,0
59,0,923,6832,0,2,0,0,0,0
63,0,5618,3500,4,0,3,0,0,0
36,0,10885,3750,7,0,1,0,0,0
69,0,1754,16216,21,0,2,0,0,0
41,0,45700000,5400,12,0,1,0,0,0
50,0,5658,3500,5,0,2,0,2,0
31,0,1880,8050,8,0,0,0,0,0
49,0,2874,4014,3,0,1,0,2,0
45,0,6320000,5400,5,0,1,0,0,0
57,0,3644,10823,9,0,3,0,0,0
32,0,925,4333,3,0,0,0,0,0
46,0,10160000,5400,2,0,0,0,0,0
54,1,2741,4456,7,0,0,0,1,0
59,0,9660000,5400,6,0,1,0,0,0
44,0,1823,4173,6,0,0,0,2,0
59,0,18073,1115,10,0,2,0,0,0
71,1,4284,5820,10,0,1,0,0,0
43,0,3123,4798,16,0,1,0,1,0
32,0,8370000,0,3,0,0,0,0,0
55,2,310000,5400,0,1,0,0,0,0
28,0,2438,1250,4,0,0,0,0,0
55,0,795,12982,9,0,0,0,2,0
32,3,14220000,5400,11,0,0,0,0,0
